details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Giant Slalom;2022-11-26;1066;782;;284;Grabner Wolfgang;AUT;34.0;13:00;;;PICHLER Karoline;ITA;;2022_2023;1994-10-30;28.0;Female;Head;Head;Leki;2;51.0;;KILLINGTON;USA;;;3911.0
Slalom;2022-12-29;1230;1020;;210;Dumoulin Pierre-luc;CAN;64.0;18:35;14.0;7.0;GRITSCH Franziska;AUT;1:45.66;2022_2023;1997-03-15;25.0;Female;Head;Head;Leki;2;2.0;52.61;SEMMERING;AUT;18.0;80.0;4985.0
Giant Slalom;2021-12-19;1868;1420;;448;Page Kevin;FRA;53.0;13:30;;10.0;DELLA VITE Filippo;ITA;;2021_2022;2001-10-04;21.0;Male;Rossignol;Rossignol;;2;53.0;;ALTA BADIA;ITA;;;1936.0
Super G;2022-01-13;1890;1287;2682.0;603;Pelkey Randy;USA;46.0;12:30;11.0;18.0;ROGENTIN Stefan;SUI;1:30.09;2021_2022;1994-05-16;28.0;Male;Fischer;Fischer;;1;11.0;1:30.09;WENGEN;SUI;24.0;24.0;5329.0
Slalom;2023-01-04;942;735;;207;Schwarzacher Paul;AUT;67.0;15:40;;70.0;JASICZEK Michal;POL;;2022_2023;1994-03-13;28.0;Male;Voelkl;Dalbello;;1;69.0;;GARMISCH-PARTENKIRCHEN;GER;;;0.0
Slalom;2021-01-31;1165;985;;180;Vuignier Julien;SUI;60.0;12:30;;;NORDBOTTEN Jonathan;NOR;;2020_2021;;;;;;;2;69.0;;CHAMONIX;FRA;;;0.0
Slalom;2022-11-19;438;258;;180;Pini Mauro;SVK;68.0;14:00;11.0;12.0;LIENSBERGER Katharina;AUT;1:53.02;2022_2023;1997-04-01;25.0;Female;Rossignol;Rossignol;Leki;2;5.0;56.89;LEVI;FIN;24.0;45.0;4985.0
Slalom;2022-11-27;980;780;;200;Brill Christian;SUI;59.0;13:00;15.0;16.0;LJUTIC Zrinka;CRO;1:44.43;2022_2023;2004-01-26;19.0;Female;Rossignol;Rossignol;;2;16.0;52.21;KILLINGTON;USA;16.0;15.0;196.0
Giant Slalom;2021-10-23;3040;2670;;370;Day Mike;USA;48.0;10:00;;47.0;LJUTIC Zrinka;CRO;;2021_2022;2004-01-26;19.0;Female;Rossignol;Rossignol;;1;43.0;1:06.37;SOELDEN;AUT;;;34.0
Slalom;2022-11-20;438;258;;180;Jonsson Per;SWE;66.0;14:15;1.0;23.0;SHIFFRIN Mikaela;USA;1:52.21;2022_2023;1995-03-13;27.0;Female;Atomic;Atomic;Leki;2;2.0;55.35;LEVI;FIN;100.0;80.0;2268.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;52.0;DRUKAROV Andrej;LTU;;2020_2021;1999-05-10;23.0;Male;Rossignol;Rossignol;;1;118.0;1:07.84;SOELDEN;AUT;;;0.0
Giant Slalom;2022-03-13;1278;846;;432;Perrin Frédéric;FRA;52.0;09:30;1.0;7.0;KRISTOFFERSEN Henrik;NOR;2:18.13;2021_2022;1994-07-02;28.0;Male;Van Deer;;;1;3.0;1:12.46;KRANJSKA GORA;SLO;100.0;60.0;3068.0
Slalom;2022-03-09;1160;960;;200;Brun Loïc;FRA;76.0;20:45;;;SEYMOUR Jett;USA;;2021_2022;1998-11-05;24.0;Male;Fischer;Fischer;;2;38.0;;FLACHAU;AUT;;;1151.0
Giant Slalom;2020-12-12;2175;1815;;360;Knight Chris;NZL;48.0;09:30;;17.0;ROBNIK Tina;SLO;;2020_2021;1991-07-30;31.0;Female;Voelkl;Dalbello;;1;38.0;1:13.24;COURCHEVEL;FRA;;;787.0
Slalom;2021-03-13;597;396;;201;Gemza Matej;SVK;70.0;10:30;;49.0;LORENZ Bernadette;AUT;;2020_2021;;;;;;;1;37.0;56.41;ARE;SWE;;;0.0
Giant Slalom;2021-10-23;3040;2670;;370;Pellicier Lionel;FRA;48.0;13:15;;;LYSDAHL Kristin;NOR;;2021_2022;1996-06-29;26.0;Female;Rossignol;Rossignol;;2;63.0;;SOELDEN;AUT;;;1523.0
Slalom;2022-02-26;942;735;;207;Schwarzacher Paul;AUT;71.0;12:30;11.0;13.0;GROSS Stefano;ITA;1:47.43;2021_2022;1986-09-04;36.0;Male;Voelkl;Tecnica;;2;4.0;52.42;GARMISCH-PARTENKIRCHEN;GER;24.0;50.0;1936.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;12.0;1.0;NESTVOLD-HAUGEN Leif Kristian;NOR;2:16.92;2020_2021;1987-11-29;35.0;Male;Head;Head;;1;10.0;1:05.71;SANTA CATERINA;ITA;22.0;26.0;4399.0
Slalom;2022-12-11;2053;1850;;203;Momo Corrado;ESP;61.0;09:30;;66.0;MAROVT Tijan;SLO;;2022_2023;1998-07-08;24.0;Male;Head;Head;;1;45.0;53.38;VAL D'ISERE;FRA;;;621.0
Slalom;2021-03-12;597;396;;201;Brill Christian;SUI;67.0;13:30;;52.0;VORRE Clara-Marie Holmer;DEN;;2020_2021;;;;;;;1;40.0;56.65;ARE;SWE;;;0.0
Slalom;2022-01-25;958;744;;214;Joris Matteo;SUI;65.0;20:45;;;PRAMSTALLER Kilian;AUT;;2021_2022;;;;;;;2;55.0;;SCHLADMING;AUT;;;0.0
Giant Slalom;2023-01-25;1580;1206;;374;Simoncelli Daniele;ITA;49.0;13:30;22.0;15.0;GRITSCH Franziska;AUT;2:06.81;2022_2023;1997-03-15;25.0;Female;Head;Head;Leki;2;24.0;1:04.14;KRONPLATZ;ITA;9.0;7.0;4985.0
Slalom;2021-03-14;1038;838;;200;Thoule Nicolas;FRA;65.0;09:30;21.0;19.0;KHOROSHILOV Alexander;RUS;1:50.70;2020_2021;;;;;;;1;21.0;52.42;KRANJSKA GORA;SLO;10.0;10.0;0.0
Slalom;2023-01-10;1170;960;;210;Pini Mauro;SVK;70.0;18:00;;39.0;SPORER Marie- Therese;AUT;;2022_2023;1996-06-28;26.0;Female;Atomic;Atomic;;1;4.0;1:00.28;FLACHAU;AUT;;50.0;4985.0
Super G;2021-12-19;2408;1810;2035.0;598;Platzer Roland;SUI;40.0;11:00;17.0;30.0;GAUCHE Laura;FRA;1:20.76;2021_2022;1995-03-04;28.0;Female;Head;Head;;1;17.0;1:20.76;VAL D'ISERE;FRA;14.0;14.0;850.0
Giant Slalom;2021-12-28;1008;680;;328;Poljsak Sergej;SLO;44.0;13:00;1.0;30.0;WORLEY Tessa;FRA;2:03.88;2021_2022;1989-10-04;33.0;Female;Rossignol;Rossignol;Leki;2;4.0;1:00.67;LIENZ;AUT;100.0;50.0;850.0
Slalom;2020-11-21;438;258;;180;Magoni Livio;SVK;67.0;14:15;9.0;17.0;MEILLARD Melanie;SUI;1:52.21;2020_2021;1998-09-23;24.0;Female;Rossignol;Rossignol;Leki;2;9.0;56.38;LEVI;FIN;29.0;29.0;3753.0
Giant Slalom;2022-12-10;2300;1850;;450;Krug Helmut;SUI;47.0;09:30;3.0;4.0;KRANJEC Zan;SLO;2:05.67;2022_2023;1992-11-15;30.0;Male;Rossignol;Rossignol;Leki;1;11.0;1:03.76;VAL D'ISERE;FRA;60.0;24.0;621.0
Slalom;2023-01-24;958;744;;214;Komarov Sergey;CRO;64.0;17:45;16.0;18.0;STROLZ Johannes;AUT;1:51.56;2022_2023;1992-09-12;30.0;Male;Head;Head;;1;10.0;55.50;SCHLADMING;AUT;15.0;26.0;5682.0
Giant Slalom;2021-02-28;2060;1610;;450;Masdal Ola;SWE;52.0;11:00;;51.0;GUILLOT Victor;FRA;;2020_2021;;;;;;;1;37.0;1:16.08;BANSKO;BUL;;;0.0
Giant Slalom;2023-03-12;1278;843;;435;Epstein Poul;SVK;53.0;09:30;2.0;2.0;KRISTOFFERSEN Henrik;NOR;2:21.23;2022_2023;1994-07-02;28.0;Male;Van Deer;;;1;3.0;1:12.63;KRANJSKA GORA;SLO;80.0;60.0;4228.0
Slalom;2020-11-22;438;258;;180;Day Mike;USA;64.0;11:15;;40.0;SMART Amelia;CAN;;2020_2021;1998-01-08;25.0;Female;Atomic;Atomic;;1;40.0;56.52;LEVI;FIN;;;437.0
Slalom;2022-11-27;980;780;;200;Brill Christian;SUI;59.0;13:00;12.0;8.0;NOENS Nastasia;FRA;1:44.15;2022_2023;1988-09-12;34.0;Female;Salomon;Salomon;Leki;2;4.0;51.23;KILLINGTON;USA;22.0;50.0;1943.0
Slalom;2021-01-10;1513;1302;;211;Omminger Andreas;GER;67.0;10:30;;24.0;HAUGAN Timon;NOR;;2020_2021;1996-12-27;26.0;Male;Van Deer;;;1;51.0;;ADELBODEN;SUI;;;4399.0
Giant Slalom;2021-12-21;2175;1815;;360;Orlowski Marcin;POL;47.0;13:00;;;GRITSCH Franziska;AUT;;2021_2022;1997-03-15;25.0;Female;Head;Head;Leki;2;34.0;;COURCHEVEL;FRA;;;3953.0
Giant Slalom;2021-01-17;1229;843;;386;De Florian Paolo;ITA;46.0;12:15;8.0;20.0;HOLDENER Wendy;SUI;2:20.20;2020_2021;1993-05-12;29.0;Female;Head;Head;Leki;2;5.0;1:07.89;KRANJSKA GORA;SLO;32.0;45.0;3753.0
Giant Slalom;2022-03-12;1278;846;;432;Steiner Günther;AUT;52.0;12:30;19.0;16.0;READ Erik;CAN;2:20.67;2021_2022;1991-05-31;31.0;Male;Atomic;Atomic;;2;20.0;1:09.68;KRANJSKA GORA;SLO;12.0;11.0;377.0
Giant Slalom;2023-03-11;1278;843;;435;Glebov Artem;NOR;51.0;09:30;;47.0;VINATZER Alex;ITA;;2022_2023;1999-09-22;23.0;Male;Atomic;Atomic;Leki;1;53.0;1:15.72;KRANJSKA GORA;SLO;;;2600.0
Giant Slalom;2020-12-20;1868;1420;;448;Brunner Bernd;GER;55.0;10:00;;56.0;BARUFFALDI Stefano;ITA;;2020_2021;;;;;;;1;45.0;1:17.51;ALTA BADIA;ITA;;;0.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;;54.0;DRUKAROV Andrej;LTU;;2021_2022;1999-05-10;23.0;Male;Rossignol;Rossignol;;1;54.0;;ADELBODEN;SUI;;;0.0
Slalom;2022-12-22;1733;1550;;183;Brun Loic;FRA;61.0;20:45;;;SZOLLOS Barnabas;ISR;;2022_2023;1998-12-13;24.0;Male;Kaestle;;;2;57.0;;MADONNA DI CAMPIGLIO;ITA;;;0.0
Slalom;2021-12-22;1733;1550;;183;Gustafsson Mika;SWE;61.0;17:45;;43.0;WINTERS Luke;USA;;2021_2022;1997-04-02;25.0;Male;Rossignol;Rossignol;;1;32.0;47.98;MADONNA DI CAMPIGLIO;ITA;;;1151.0
Slalom;2022-02-27;942;735;;207;Costazza Stefano;ITA;68.0;09:10;;21.0;POPOV Albert;BUL;;2021_2022;1997-08-08;25.0;Male;Head;Head;Leki;1;49.0;;GARMISCH-PARTENKIRCHEN;GER;;;90.0
Slalom;2023-01-08;1513;1302;;211;Deldio Simone;ITA;68.0;13:30;;;MAROVT Tijan;SLO;;2022_2023;1998-07-08;24.0;Male;Head;Head;;2;35.0;;ADELBODEN;SUI;;;621.0
Slalom;2022-11-20;438;258;;180;Dumoulin Pierre-luc;CAN;68.0;11:15;12.0;8.0;HOLTMANN Mina Fuerst;NOR;1:54.54;2022_2023;1995-07-17;27.0;Female;Atomic;Atomic;;1;27.0;58.28;LEVI;FIN;22.0;4.0;1846.0
Giant Slalom;2020-12-05;2070;1730;;340;Krug Helmut;SUI;48.0;13:30;;;HADALIN Stefan;SLO;;2020_2021;;;;;;;2;39.0;;SANTA CATERINA;ITA;;;0.0
Slalom;2022-11-19;438;258;;180;Lenz Markus;GER;63.0;11:00;13.0;16.0;DUBOVSKA Martina;CZE;1:53.51;2022_2023;1992-02-27;31.0;Female;Kaestle;;Leki;1;17.0;56.03;LEVI;FIN;20.0;14.0;567.0
Slalom;2023-01-04;942;735;;207;Meynet Thierry;SUI;67.0;18:45;;;SCHMID Alexander;GER;;2022_2023;1994-06-09;28.0;Male;Head;Head;Leki;2;39.0;;GARMISCH-PARTENKIRCHEN;GER;;;1655.0
Slalom;2022-02-27;942;735;;207;Glasse Davies Tristan;GBR;69.0;12:30;3.0;15.0;STRASSER Linus;GER;1:53.13;2021_2022;1992-11-06;30.0;Male;Rossignol;Rossignol;Leki;2;6.0;58.10;GARMISCH-PARTENKIRCHEN;GER;60.0;40.0;1867.0
Slalom;2021-01-26;958;744;;214;Theolier Jacques;ITA;65.0;20:45;;;MATT Michael;AUT;;2020_2021;1993-05-13;29.0;Male;Augment;;Leki;2;51.0;;SCHLADMING;AUT;;;3879.0
Giant Slalom;2022-12-28;1335;1020;;315;Gemza Matej;SVK;44.0;10:00;2.0;4.0;GUT-BEHRAMI Lara;SUI;2:03.61;2022_2023;1991-04-27;31.0;Female;Head;Head;Leki;1;54.0;59.23;SEMMERING;AUT;80.0;;4705.0
Slalom;2021-03-06;1450;1250;;200;Agazzi Luca;CAN;64.0;09:30;21.0;18.0;GRITSCH Franziska;AUT;1:48.82;2020_2021;1997-03-15;25.0;Female;Head;Head;Leki;1;9.0;53.75;JASNA;SVK;10.0;29.0;3815.0
Slalom;2023-01-15;1475;1281;;194;Glasse-davies Tristan;GBR;65.0;10:15;25.0;24.0;AERNI Luca;SUI;1:56.24;2022_2023;1993-03-27;29.0;Male;Fischer;Fischer;;1;11.0;1:01.57;WENGEN;SUI;6.0;24.0;5705.0
Slalom;2020-11-21;438;258;;180;Plattner Roland;AUT;66.0;11:15;;19.0;HROVAT Meta;SLO;;2020_2021;;;;;;;1;65.0;;LEVI;FIN;;;0.0
Slalom;2022-03-12;597;396;;201;Kueng Mirena;SUI;68.0;13:45;16.0;7.0;SMART Amelia;CAN;1:47.77;2021_2022;1998-01-08;25.0;Female;Atomic;Atomic;;2;9.0;55.15;ARE;SWE;15.0;29.0;712.0
Giant Slalom;2021-12-19;1868;1420;;448;Bergant Klemen;SLO;54.0;10:00;;30.0;SARRAZIN Cyprien;FRA;;2021_2022;1994-10-13;28.0;Male;Rossignol;Rossignol;;1;33.0;1:13.81;ALTA BADIA;ITA;;;4141.0
Giant Slalom;2022-03-11;796;396;;400;Rulfi Gianluca;ITA;54.0;18:00;12.0;12.0;WILD Simone;SUI;2:35.74;2021_2022;1993-12-07;29.0;Female;Fischer;Fischer;;2;9.0;1:18.18;ARE;SWE;22.0;29.0;4758.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;3.0;2.0;STRASSER Linus;GER;1:37.85;2022_2023;1992-11-06;30.0;Male;Rossignol;Rossignol;Leki;1;3.0;49.80;MADONNA DI CAMPIGLIO;ITA;60.0;60.0;1655.0
Slalom;2023-02-26;2113;1907;;206;Borisov Ivan;BUL;67.0;13:15;27.0;1.0;DEL CAMPO Juan;ESP;1:49.66;2022_2023;1994-06-28;28.0;Male;Atomic;Atomic;;2;19.0;55.53;PALISADES TAHOE;USA;4.0;12.0;158.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;24.0;;NESTVOLD-HAUGEN Leif Kristian;NOR;2:07.76;2020_2021;1987-11-29;35.0;Male;Head;Head;;2;52.0;1:02.65;SOELDEN;AUT;7.0;;4399.0
Giant Slalom;2023-03-11;1278;843;;435;Velez Romain;FRA;51.0;12:30;;;KATO Seigo;JPN;;2022_2023;;;;;;;2;57.0;;KRANJSKA GORA;SLO;;;0.0
Slalom;2022-01-25;958;744;;214;Thoule Nicolas;FRA;68.0;17:45;15.0;15.0;YULE Daniel;SUI;1:47.20;2021_2022;1993-02-18;30.0;Male;Fischer;Fischer;Leki;1;20.0;52.90;SCHLADMING;AUT;16.0;11.0;5329.0
Giant Slalom;2021-12-20;1868;1420;;448;Garner Ian;USA;54.0;10:00;18.0;7.0;PINTURAULT Alexis;FRA;2:28.77;2021_2022;1991-03-20;31.0;Male;Head;Head;Leki;1;12.0;1:13.53;ALTA BADIA;ITA;13.0;22.0;4141.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;25.0;27.0;HROBAT Miha;SLO;1:14.32;2020_2021;1995-02-03;28.0;Male;Atomic;Atomic;Leki;1;25.0;1:14.32;GARMISCH-PARTENKIRCHEN;GER;6.0;6.0;813.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;RASCHNER Dominik;AUT;;2020_2021;1994-08-23;28.0;Male;Rossignol;Rossignol;Leki;2;78.0;;SOELDEN;AUT;;;3879.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;;54.0;COLTURI Lara;ALB;;2022_2023;2006-11-15;16.0;Female;Blizzard;Tecnica;;1;34.0;1:15.73;SESTRIERE;ITA;;;0.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;;9.0;SCHMID Alexander;GER;;2021_2022;1994-06-09;28.0;Male;Head;Head;Leki;1;9.0;1:20.13;ADELBODEN;SUI;;29.0;1867.0
Super G;2022-01-30;1308;770;2180.0;538;Hoedlmoser Alex;USA;41.0;11:30;26.0;25.0;PICHLER Karoline;ITA;1:20.16;2021_2022;1994-10-30;28.0;Female;Head;Head;Leki;1;26.0;1:20.16;GARMISCH-PARTENKIRCHEN;GER;5.0;5.0;3799.0
Slalom;2021-01-31;1165;985;;180;Glasse-davies Tristan;GBR;63.0;09:30;;34.0;RODES Istok;CRO;;2020_2021;1996-01-27;27.0;Male;VOELKL;Dalbello;;1;32.0;52.35;CHAMONIX;FRA;;;550.0
Slalom;2021-01-03;988;768;;220;Haarala Janne;NOR;71.0;12:30;;57.0;RAST Camille;SUI;;2020_2021;1999-07-09;23.0;Female;Salomon;Salomon;;1;21.0;1:02.44;ZAGREB;CRO;;10.0;3753.0
Giant Slalom;2021-12-19;1868;1420;;448;Bergant Klemen;SLO;54.0;10:00;28.0;31.0;KUZNETSOV Ivan;RUS;2:27.44;2021_2022;;;;;;;1;24.0;1:13.33;ALTA BADIA;ITA;3.0;7.0;0.0
Slalom;2022-01-16;1475;1281;;194;Deldio Simone;FRA;64.0;10:15;20.0;29.0;SALA Tommaso;ITA;1:43.28;2021_2022;1995-09-06;27.0;Male;Dynastar;Lange;Leki;1;21.0;52.86;WENGEN;SUI;11.0;10.0;1936.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;;34.0;MAES Sam;BEL;;2021_2022;1998-06-07;24.0;Male;Voelkl;Dalbello;;1;46.0;;ADELBODEN;SUI;;;40.0
Giant Slalom;2022-12-28;1335;1020;;315;Gamper Manuel;SWE;43.0;13:00;12.0;18.0;MOWINCKEL Ragnhild;NOR;2:05.77;2022_2023;1992-09-12;30.0;Female;Head;Head;;2;12.0;1:04.33;SEMMERING;AUT;22.0;22.0;1846.0
Super G;2021-12-05;2211;1680;1971.0;531;Scheiber Florian;AUT;42.0;10:30;2.0;7.0;GUT-BEHRAMI Lara;SUI;1:18.39;2021_2022;1991-04-27;31.0;Female;Head;Head;Leki;1;2.0;1:18.39;LAKE LOUISE;CAN;80.0;80.0;4758.0
Giant Slalom;2023-01-08;1175;855;;320;Praz Laurent;CAN;40.0;09:30;;24.0;ROBINSON Alice;NZL;;2022_2023;2001-12-01;21.0;Female;Salomon;Salomon;;1;18.0;57.28;KRANJSKA GORA;SLO;;13.0;177.0
Super G;2020-12-20;2408;1810;2142.0;598;FÜrbeck Andreas;GER;43.0;11:00;14.0;16.0;TIPPLER Tamara;AUT;1:26.00;2020_2021;1991-04-09;31.0;Female;Salomon;Salomon;;1;14.0;1:26.00;VAL D'ISERE;FRA;18.0;18.0;3815.0
Slalom;2022-11-27;980;780;;200;Lindman Pernille;NOR;60.0;10:15;;9.0;ST-GERMAIN Laurence;CAN;;2022_2023;1994-05-30;28.0;Female;Rossignol;Rossignol;;1;37.0;53.74;KILLINGTON;USA;;;1025.0
Giant Slalom;2023-03-10;736;396;;340;Pichler Charly;AUT;43.0;10:00;11.0;5.0;BASSINO Marta;ITA;1:56.84;2022_2023;1996-02-27;27.0;Female;Salomon;Salomon;Leki;1;13.0;56.89;ARE;SWE;24.0;20.0;3911.0
Giant Slalom;2020-12-07;2070;1730;;340;Rottensteiner Michael;NOR;46.0;13:00;5.0;28.0;PINTURAULT Alexis;FRA;2:09.24;2020_2021;1991-03-20;31.0;Male;Head;Head;Leki;2;19.0;1:04.97;SANTA CATERINA;ITA;45.0;12.0;4197.0
Super G;2023-03-05;782;182;2170.0;600;Lackie Jeff;USA;38.0;10:30;;45.0;MUZAFERIJA Elvedina;BIH;;2022_2023;1999-08-20;23.0;Female;Atomic;Atomic;;1;0.0;;KVITFJELL;NOR;;;29.0
Super G;2021-02-01;1308;770;2180.0;538;Platzer Roland;SUI;39.0;10:50;2.0;10.0;VLHOVA Petra;SVK;1:17.65;2020_2021;1995-06-13;27.0;Female;Rossignol;Rossignol;;1;2.0;1:17.65;GARMISCH-PARTENKIRCHEN;GER;80.0;80.0;1189.0
Giant Slalom;2021-12-11;2300;1850;;450;Suman Marko;CRO;48.0;09:30;11.0;23.0;MUFFAT-JEANDET Victor;FRA;2:14.60;2021_2022;;;;;;;1;9.0;1:08.40;VAL D'ISERE;FRA;24.0;29.0;0.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;;;STEFFEY George;USA;;2021_2022;1997-08-08;25.0;Male;Voelkl;Dalbello;;2;46.0;;ADELBODEN;SUI;;;1151.0
Slalom;2021-01-10;1513;1302;;211;Masdal Ola;SWE;69.0;13:30;;;KASTLUNGER Tobias;ITA;;2020_2021;1999-09-09;23.0;Male;Head;Head;Leki;2;55.0;;ADELBODEN;SUI;;;2205.0
Slalom;2021-03-14;1038;838;;200;Mithassel Christian;NOR;63.0;12:30;19.0;4.0;HOLZMANN Sebastian;GER;1:50.43;2020_2021;1993-03-22;29.0;Male;Voelkl;Dalbello;Leki;2;2.0;57.14;KRANJSKA GORA;SLO;12.0;80.0;1700.0
Giant Slalom;2021-12-11;2300;1850;;450;Suman Marko;CRO;48.0;09:30;6.0;13.0;SCHMID Alexander;GER;2:14.23;2021_2022;1994-06-09;28.0;Male;Head;Head;Leki;1;6.0;1:08.23;VAL D'ISERE;FRA;40.0;40.0;1867.0
Giant Slalom;2023-01-07;1730;1310;;420;Kroisleitner Martin;AUT;55.0;13:30;20.0;9.0;LUITZ Stefan;GER;2:35.37;2022_2023;1992-03-26;30.0;Male;Head;Head;Leki;2;18.0;1:15.36;ADELBODEN;SUI;11.0;13.0;1655.0
Giant Slalom;2023-01-25;1148;758;;390;Page Kevin;FRA;47.0;20:45;;;ODERMATT Marco;SUI;;2022_2023;1997-10-08;25.0;Male;Stoeckli;Salomon;Leki;2;67.0;;SCHLADMING;AUT;;;5705.0
Slalom;2021-01-03;988;768;;220;Haarala Janne;NOR;71.0;12:30;;40.0;RASK Sara;SWE;;2020_2021;2000-03-16;22.0;Female;Rossignol;Rossignol;;1;23.0;1:02.57;ZAGREB;CRO;;8.0;921.0
Super G;2023-01-15;1955;1355;1875.0;600;Senigagliesi Alberto;FIS;39.0;11:15;28.0;44.0;MUZAFERIJA Elvedina;BIH;1:23.20;2022_2023;1999-08-20;23.0;Female;Atomic;Atomic;;1;28.0;1:23.20;ST. ANTON;AUT;3.0;3.0;29.0
Slalom;2022-12-11;2053;1850;;203;Momo Corrado;ESP;61.0;09:30;;60.0;SEYMOUR Jett;USA;;2022_2023;1998-11-05;24.0;Male;Fischer;Fischer;;1;39.0;52.77;VAL D'ISERE;FRA;;;1376.0
Giant Slalom;2021-01-08;1730;1310;;420;Pilarsky Mike;NOR;54.0;13:15;;;PERTL Adrian;AUT;;2020_2021;1996-04-22;26.0;Male;Voelkl;Dalbello;;2;47.0;;ADELBODEN;SUI;;;3879.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;;68.0;JAKOBSEN Kristoffer;SWE;;2020_2021;1994-09-09;28.0;Male;Fischer;Fischer;Leki;1;65.0;;SANTA CATERINA;ITA;;;553.0
Super G;2021-03-07;1697;1060;2230.0;637;Fournier Xavier;FRA;45.0;10:30;12.0;31.0;TONETTI Riccardo;ITA;1:25.32;2020_2021;1989-05-14;33.0;Male;Salomon;Salomon;Leki;1;12.0;1:25.32;SAALBACH-HINTERGLEMM;AUT;22.0;22.0;2205.0
Giant Slalom;2022-12-28;1335;1020;;315;Gamper Manuel;SWE;43.0;13:00;10.0;22.0;WORLEY Tessa;FRA;2:05.46;2022_2023;1989-10-04;33.0;Female;Rossignol;Rossignol;Leki;2;13.0;1:04.33;SEMMERING;AUT;26.0;20.0;1943.0
Slalom;2021-01-12;1160;960;;200;Thoma Christian;SWE;69.0;20:45;;;GUTIERREZ Mireia;AND;;2020_2021;;;;;;;2;45.0;;FLACHAU;AUT;;;0.0
Giant Slalom;2022-01-08;1230;849;;381;Alejo Hervas Jose Luis;SUI;45.0;12:30;;;MIDALI Roberta;ITA;;2021_2022;1994-11-10;28.0;Female;Rossignol;Rossignol;;2;32.0;;KRANJSKA GORA;SLO;;;3799.0
Slalom;2021-01-16;1160;960;;200;Salej Rok;SLO;67.0;09:30;;66.0;MAJOR Billy;GBR;;2020_2021;1996-11-21;26.0;Male;Fischer;Fischer;;1;61.0;;FLACHAU;AUT;;;151.0
Giant Slalom;2022-12-18;1868;1420;;448;Brunner Bernd;GER;57.0;10:00;;25.0;BORSOTTI Giovanni;ITA;;2022_2023;1990-12-18;32.0;Male;Rossignol;Rossignol;Leki;1;68.0;;ALTA BADIA;ITA;;;2600.0
Slalom;2021-03-14;1038;838;;200;Thoule Nicolas;FRA;65.0;09:30;;30.0;RAZZOLI Giuliano;ITA;;2020_2021;1984-12-18;38.0;Male;Fischer;Dalbello;Gabel S.r.i. Unipersonale;1;49.0;;KRANJSKA GORA;SLO;;;2205.0
Giant Slalom;2021-01-26;1580;1206;;374;Roten Joerg;SUI;45.0;13:30;;;SCHEIB Julia;AUT;;2020_2021;1998-05-12;24.0;Female;Rossignol;Rossignol;;2;42.0;;KRONPLATZ;ITA;;;3815.0
Giant Slalom;2023-01-08;1175;855;;320;Pfitscher Heini;SUI;39.0;12:30;26.0;16.0;ALPHAND Estelle;SWE;1:56.69;2022_2023;1995-04-23;27.0;Female;Head;Head;Leki;2;29.0;59.55;KRANJSKA GORA;SLO;5.0;2.0;1171.0
Giant Slalom;2022-12-10;2400;2044;;356;Haarala Janne;NOR;51.0;13:30;;;HENSIEN Katie;USA;;2022_2023;1999-12-01;23.0;Female;Rossignol;Rossignol;;2;39.0;;SESTRIERE;ITA;;;2268.0
Giant Slalom;2022-03-13;1278;846;;432;Perrin Frédéric;FRA;52.0;09:30;;47.0;GILE Bridger;USA;;2021_2022;1999-10-15;23.0;Male;Head;Head;;1;47.0;1:16.65;KRANJSKA GORA;SLO;;;1151.0
Slalom;2021-12-29;880;680;;200;Stadler Silvano;SUI;64.0;10:00;;54.0;CEDER Liv;SWE;;2021_2022;;;;;;;1;61.0;;LIENZ;AUT;;;0.0
Slalom;2022-01-22;1004;811;;193;Theolier Jacques;ITA;65.0;13:45;;;HAUGAN Timon;NOR;;2021_2022;1996-12-27;26.0;Male;Van Deer;;;2;42.0;;KITZBUEHEL;AUT;;;3068.0
